batch_id,asset_id,module,family,variant,scene_role,tone_profile,target_slot,target_width_px,target_height_px,github_relative_path,asset_url,status,version,title,notes,tags
BATCH_02,tx_orbital_observatory_safearea_v01,transmision,orbital_observatory,v01,background,sci_fi_calm,fullscreen,800,480,assets/tx/tx_orbital_observatory_safearea_v01.png,https://jordicueto.github.io/arcadia-assets/assets/tx/tx_orbital_observatory_safearea_v01.png,approved,v3,Observatorio orbital con safe area,"Transmisión sci-fi con espacio libre abajo al centro para tarjeta de mensaje","transmision|space|orbital|stars|sci_fi"
BATCH_02,tx_arcane_library_safearea_v01,transmision,arcane_library,v01,background,fantasy_mystic,fullscreen,800,480,assets/tx/tx_arcane_library_safearea_v01.png,https://jordicueto.github.io/arcadia-assets/assets/tx/tx_arcane_library_safearea_v01.png,approved,v3,Biblioteca arcana con safe area,"Transmisión fantasy con espacio libre abajo al centro para tarjeta de mensaje","transmision|fantasy|library|magic|moon"
BATCH_02,ander_jordi_tummy_time_nursery_v01,ander,jordi_tummy_time,v01,panel,cozy_day,panel_lateral,360,300,assets/ander/ander_jordi_tummy_time_nursery_v01.png,https://jordicueto.github.io/arcadia-assets/assets/ander/ander_jordi_tummy_time_nursery_v01.png,approved,v3,Jordi y Ander tummy time,"Útil para tummy time, desarrollo motor y vínculo","ander|jordi|tummy_time|motor|bonding"
BATCH_02,ander_ana_bedtime_reading_v01,ander,ana_reading,v01,panel,cozy_night,panel_lateral,360,300,assets/ander/ander_ana_bedtime_reading_v01.png,https://jordicueto.github.io/arcadia-assets/assets/ander/ander_ana_bedtime_reading_v01.png,approved,v3,Ana leyendo a Ander,"Útil para lenguaje, bedtime y lectura","ander|ana|reading|bedtime|language"
BATCH_02,ander_family_space_observation_v01,ander,family_space,v01,panel,sci_fi_warm,panel_lateral,360,300,assets/ander/ander_family_space_observation_v01.png,https://jordicueto.github.io/arcadia-assets/assets/ander/ander_family_space_observation_v01.png,approved,v3,Familia en observatorio espacial,"Escena especial de familia con sci-fi cálido","ander|family|space|bonding|special"
BATCH_02,enigma_switches_lamps_lab_v01,enigma,switches_lamps,v01,wide,mystery_study,enigma_main,480,300,assets/enigma/enigma_switches_lamps_lab_v01.png,https://jordicueto.github.io/arcadia-assets/assets/enigma/enigma_switches_lamps_lab_v01.png,approved,v3,Laboratorio de switches y focos,"Útil para acertijos de lógica, switches y deducción","enigma|logic|switches|lamps|deduction"
BATCH_02,home_desk_agenda_window_v01,home,desk_agenda,v01,microscene,organized_home,micro_utility,300,160,assets/home/home_desk_agenda_window_v01.png,https://jordicueto.github.io/arcadia-assets/assets/home/home_desk_agenda_window_v01.png,approved,v3,Escritorio y agenda junto a ventana,"Útil para agenda, pendientes y organización del hogar","home|agenda|desk|planning|organization"
BATCH_02,home_outing_prep_diaper_bag_v01,home,outing_prep,v01,microscene,organized_family,micro_utility,300,160,assets/home/home_outing_prep_diaper_bag_v01.png,https://jordicueto.github.io/arcadia-assets/assets/home/home_outing_prep_diaper_bag_v01.png,approved,v3,Preparación para salida con bebé,"Útil para salidas, checklist y preparación","home|outing|baby|diaper_bag|prep"
BATCH_02,arcade_card_games_english_table_v02,arcade,card_games,v02,card,tabletop_cozy,game_card,240,144,assets/arcade/arcade_card_games_english_table_v02.png,https://jordicueto.github.io/arcadia-assets/assets/arcade/arcade_card_games_english_table_v02.png,approved,v3,Escena de cartas con baraja inglesa,"Fallback o visual principal para Card Games / baraja inglesa","arcade|cards|english_deck|card_games|fallback"
BATCH_02,arcade_coop_boardgame_table_v01,arcade,coop_boardgame,v01,card,tabletop_cozy,game_card,240,144,assets/arcade/arcade_coop_boardgame_table_v01.png,https://jordicueto.github.io/arcadia-assets/assets/arcade/arcade_coop_boardgame_table_v01.png,approved,v3,Escena de juego cooperativo de mesa,"Visual para board games cooperativos","arcade|boardgame|coop|tabletop|strategy"
